frame,keypoint_id,x,y,px,py,visibility
20,0,0.3100545,0.33701083,223,431,0.9594770669937134
20,1,0.31460223,0.33208704,226,425,0.6511432528495789
20,2,0.29811096,0.33215418,214,425,0.9765070676803589
20,3,0.30609685,0.33671522,220,430,0.15567073225975037
20,4,0.27163273,0.3363939,195,430,0.981843888759613
20,5,0.28728643,0.36207002,206,463,0.9834014177322388
20,6,0.26583338,0.3629381,191,464,0.9982032775878906
20,7,0.32400882,0.3800184,233,486,0.7612722516059875
20,8,0.32665133,0.38451388,235,492,0.993894636631012
20,9,0.38046724,0.37614813,273,481,0.7658615112304688
20,10,0.38456208,0.37537688,276,480,0.982386589050293
20,11,0.25290203,0.42699996,182,546,0.983117938041687
20,12,0.23321423,0.42826957,167,548,0.9951522350311279
20,13,0.2900661,0.47477335,208,607,0.9159138798713684
20,14,0.27440733,0.47669363,197,610,0.9790289402008057
20,15,0.24771546,0.51287806,178,656,0.766796350479126
20,16,0.21863697,0.5175849,157,662,0.9089515805244446
21,0,0.31521404,0.33244044,226,425,0.9385674595832825
21,1,0.31650603,0.32768658,227,419,0.5093834400177002
21,2,0.3042258,0.3281205,219,419,0.9666978120803833
21,3,0.3045178,0.3319505,219,424,0.10131793469190598
21,4,0.2784069,0.3321949,200,425,0.981859028339386
21,5,0.28623465,0.3570473,206,457,0.9807040691375732
21,6,0.26588526,0.35904205,191,459,0.9977377653121948
21,7,0.3218634,0.3730946,231,477,0.7426870465278625
21,8,0.31949884,0.38046104,230,486,0.992719292640686
21,9,0.38307083,0.37834674,275,484,0.7419109344482422
21,10,0.38304773,0.37760895,275,483,0.9791075587272644
21,11,0.2547211,0.42336863,183,541,0.9864555597305298
21,12,0.23407263,0.42589504,168,545,0.9959006905555725
21,13,0.31499368,0.4668704,226,597,0.9439084529876709
21,14,0.28455284,0.47063273,204,602,0.986078679561615
21,15,0.2666008,0.50743335,191,649,0.8554937243461609
21,16,0.21311586,0.5147055,153,658,0.9468122720718384
22,0,0.31765172,0.32714847,228,418,0.9341967701911926
22,1,0.31868365,0.3225239,229,412,0.5091944932937622
22,2,0.30656174,0.3228034,220,413,0.9632942080497742
22,3,0.30833128,0.32678235,221,418,0.10589639842510223
22,4,0.28052935,0.3265614,201,417,0.9794304370880127
22,5,0.2921309,0.35321668,210,452,0.9802989363670349
22,6,0.26642957,0.35433897,191,453,0.9973827004432678
22,7,0.3275568,0.37360778,235,478,0.743432343006134
22,8,0.32095826,0.37992287,231,486,0.9911127686500549
22,9,0.38136452,0.3819829,274,488,0.7302097082138062
22,10,0.38309777,0.38132733,275,488,0.9743630290031433
22,11,0.258959,0.42247754,186,540,0.9856035709381104
22,12,0.23345536,0.4246295,168,543,0.995305597782135
22,13,0.3259519,0.46278042,234,592,0.9420587420463562
22,14,0.28001437,0.46635213,201,596,0.9845070838928223
22,15,0.28205666,0.50552416,203,647,0.8577035069465637
22,16,0.20446523,0.5124644,147,655,0.9448057413101196
23,0,0.32502303,0.32555342,234,416,0.9042685031890869
23,1,0.32564977,0.3211413,234,411,0.3422791063785553
23,2,0.31758025,0.3210321,228,410,0.9499322175979614
23,3,0.3004097,0.32440308,216,415,0.07535620033740997
23,4,0.29428622,0.3244449,211,415,0.9816716313362122
23,5,0.27693194,0.34793603,199,445,0.9798705577850342
23,6,0.28054368,0.35037336,201,448,0.9983837604522705
23,7,0.31794327,0.37500817,228,480,0.698318362236023
23,8,0.32825497,0.38076618,236,487,0.995000422000885
23,9,0.3624446,0.38604006,260,494,0.6842319369316101
23,10,0.36577463,0.3878565,263,496,0.9817865490913391
23,11,0.24142134,0.41711172,173,533,0.9903692603111267
23,12,0.23517442,0.4191265,169,536,0.9976338148117065
23,13,0.3100011,0.4599524,223,588,0.9587358832359314
23,14,0.26858515,0.4623801,193,591,0.9915737509727478
23,15,0.29393417,0.5057971,211,647,0.9022439122200012
23,16,0.20957933,0.5119351,150,655,0.9690825343132019
24,0,0.3283958,0.32138467,236,411,0.9289342761039734
24,1,0.32936135,0.31719786,237,406,0.4663209319114685
24,2,0.31939283,0.31699595,229,405,0.9577957391738892
24,3,0.31482497,0.3225367,226,412,0.09087300300598145
24,4,0.29300877,0.32159367,210,411,0.9754081964492798
24,5,0.29067674,0.34879535,209,446,0.9816454648971558
24,6,0.2766651,0.34872347,199,446,0.9979560375213623
